Date,Description,Amount,Category,Payment Modality
4/9/2024,COMCAST,59.99,Phone/Cables,Online
4/1/2024,UBER EATS,17.72,Dining,Online
3/26/2024,Wall Street,2,Other,Online
3/18/2024,HULU,1.99,Subscription,Online
3/10/2024,MINT MOBILE,53.95,Phone/Cables,Online
3/9/2024,COMCAST,59.99,Phone/Cables,Online
3/7/2024,UCI Graduate Application,150,School,Online
2/27/2024,Wall Street,2,Other,Online
2/21/2024,DRI*EXAMITY LLC,300,School,Online
2/22/2024,PANERA BREAD,9.95,Dining,Online
2/19/2024,Nike.com,56.84,Merchandise,Online
2/18/2024,HULU,1.99,Subscription,Online
2/12/2024,Amazon,7.49,Merchandise,Online
2/9/2024,COMCAST,59.99,Phone/Cables,Online
1/31/2024,PLANET FITNESS,5.83,Gym,Online
1/30/2024,Wall Street,2,Other,Online
1/29/2024,LinkedIn,39.99,Other,Online
1/29/2024,Nike.com,137.38,Merchandise,Online
1/22/2024,VT GRAD ADMISSIONS,75,School,Online
1/20/2024,Nike.com,90.53,Merchandise,Online
1/18/2024,HULU,1.99,Subscription,Online
1/12/2024,Amazon,7.49,Merchandise,Online
1/11/2024,Amazon,18,Merchandise,Online
1/9/2024,COMCAST,59.99,Phone/Cables,Online
1/2/2024,Wall Street,2,Other,Online
